phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,gridLayer,sourceLayer,berZeroErrorUpper95,ferZeroErrorUpper95,sourceRun,sourceCommit,runDate,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,payloadSeed,noiseSeed,frameIndex,sourceNoiseId,rowId,mergedRowId
formal,CC-B-R12-H,0,0,3.0963016742589877,0.49019607843137253,0.5,612,0,5000,5000,8320246021676229635,43554,3109,0.029035999999999999,0.62180000000000002,0.37819999999999998,7.3099800000000021,3916.4000000000001,421.15680000000077,795.29999999999995,13992,0.71232377109902878,0.26940085022965266,0.18539215686274507,TARGET_ERRORS_REACHED,0.02876850081922115,0.029305911426350528,0.6082697834778782,0.635143204328306,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-000,merged-010
formal,CC-B-R12-H,0.20000000000000001,0.20000000000000001,3.2963016742589879,0.49019607843137253,0.47749629301071794,612,0,5000,5000,8320246021676229635,31978,2646,0.021318666666666666,0.5292,0.4708,6.971600000000012,1023.3,421.48906000000045,831.89999999999998,10443.5,0.71176224597620563,0.3350976654055976,0.23078431372549019,TARGET_ERRORS_REACHED,0.021088734682938724,0.021551050423622667,0.5153474921636946,0.543007674042714,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-001,merged-011
formal,CC-B-R12-H,0.40000000000000002,0.40000000000000002,3.4963016742589876,0.49019607843137253,0.45600541967795483,612,0,5000,5000,8320246021676229635,22610,2124,0.015073333333333333,0.42480000000000001,0.57519999999999993,6.9531800000000308,1619.4000000000001,426.19246000000078,830.79999999999995,11810.200000000001,0.70390733801343985,0.40488750082533054,0.28196078431372545,TARGET_ERRORS_REACHED,0.014879582980794061,0.015269567447273166,0.4111614749844162,0.4385539873881205,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-002,merged-012
formal,CC-B-R12-H,0.59999999999999998,0.59999999999999998,3.6963016742589878,0.49019607843137253,0.43548179497804029,612,0,5000,5000,8320246021676229635,15524,1656,0.010349333333333334,0.33119999999999999,0.66880000000000006,6.5362599999999986,756.79999999999995,410.29437999999953,789,8500.1000000000004,0.7311823281615516,0.48901474107444576,0.327843137254902,TARGET_ERRORS_REACHED,0.01018862570734414,0.01051254891672975,0.3182885831413307,0.3443705930353207,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-003,merged-014
formal,CC-B-R12-H,0.80000000000000004,0.80000000000000004,3.8963016742589875,0.49019607843137253,0.41588188555133548,612,0,5000,5000,8320246021676229635,10502,1264,0.0070013333333333334,0.25280000000000002,0.74719999999999998,6.5772999999999984,576.5,405.61886000000021,787.89999999999998,4358.3000000000002,0.73961057925166462,0.55263702481684374,0.36627450980392157,TARGET_ERRORS_REACHED,0.006869155879263316,0.007136035893038835,0.24094615131947145,0.2650334005221649,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-004,merged-015
formal,CC-B-R12-H,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,0,5000,5000,8320246021676229635,6847,934,0.0045646666666666665,0.18679999999999999,0.81320000000000003,6.3184400000000078,634.5,410.75388000000038,800.5,5208.5,0.73036437294274548,0.59393230807704067,0.39862745098039215,TARGET_ERRORS_REACHED,0.004458054946332976,0.0046738159730767585,0.1762387702652971,0.19784211823308673,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-005,merged-016
formal,CC-B-R12-H,1.2,1.2,4.2963016742589879,0.49019607843137253,0.37928878751459189,612,0,5000,5000,8320246021676229635,4533,684,0.0030219999999999999,0.1368,0.86319999999999997,6.5416199999999982,628.39999999999998,397.70554000000067,728.89999999999998,6068.1999999999998,0.75432693243347704,0.65113500807657732,0.42313725490196075,TARGET_ERRORS_REACHED,0.0029354236053802532,0.0031111218821298775,0.12755347300455458,0.14660418568833497,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-006,merged-017
formal,CC-B-R12-H,1.3999999999999999,1.3999999999999999,4.4963016742589872,0.49019607843137253,0.36221798003749506,612,0,5000,5000,8320246021676229635,2972,479,0.0019813333333333332,0.095799999999999996,0.9042,6.758159999999986,658.29999999999995,423.27346000000108,834.5,7585.3999999999996,0.7087616596608709,0.64086229266535943,0.44323529411764706,TARGET_ERRORS_REACHED,0.0019114350082183296,0.0020537824761823454,0.08794964072133023,0.10427096953105396,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-007,merged-018
formal,CC-B-R12-H,1.6000000000000001,1.6000000000000001,4.6963016742589883,0.49019607843137253,0.34591548545946826,612,0,5000,5000,8320246021676229635,1858,332,0.0012386666666666666,0.066400000000000001,0.93359999999999999,6.8434200000000205,816.10000000000002,407.00581999999946,790.89999999999998,4365.5,0.73709019689202582,0.68814740781839534,0.45764705882352941,TARGET_ERRORS_REACHED,0.001183642241715731,0.0012962457132397593,0.05982625206670292,0.07363949906005063,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-008,merged-020
formal,CC-B-R12-H,1.8,1.8,4.8963016742589875,0.49019607843137253,0.330346724003798,612,0,5000,5000,8320246021676229635,1189,225,0.00079266666666666667,0.044999999999999998,0.95499999999999996,6.708379999999984,823.60000000000002,404.95504000000062,760.60000000000002,4010.3000000000002,0.74082298123761969,0.7074859470819268,0.46813725490196073,TARGET_ERRORS_REACHED,0.0007488894018472702,0.0008390008374898817,0.03959482746331551,0.05110378130668648,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-009,merged-021
formal,CC-B-R12-H,2,2,5.0963016742589877,0.49019607843137253,0.31547867224009662,612,0,6726,6726,11847767299192062772,1038,200,0.00051442164733868573,0.029735355337496282,0.97026464466250373,6.495985727029459,963.60000000000002,381.66752899197172,676,3696.0999999999999,0.78602442495523484,0.76265170937523974,0.47561992385416846,TARGET_ERRORS_REACHED,0.00048407164601031835,0.0005466734720666806,0.02593677577942439,0.034070798142155245,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-6725,STAGE09-1200,dense-010,merged-022
