caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S300,5,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,5.2000000000000002,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,5.4000000000000004,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,5.5999999999999996,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,5.7999999999999998,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,6,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,6.2000000000000002,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,6.4000000000000004,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,6.5999999999999996,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,6.7999999999999998,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,7,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,7.2000000000000002,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,7.4000000000000004,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,7.5999999999999996,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,7.7999999999999998,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,8,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,8.1999999999999993,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,8.4000000000000004,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,8.5999999999999996,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,8.8000000000000007,reportedSuccessRate,1.0,1.0,RAW
BCH-S300,9,reportedSuccessRate,1.0,1.0,RAW
BCH-B300,4,reportedSuccessRate,0.6402,0.6402,RAW
BCH-B300,4.2000000000000002,reportedSuccessRate,0.7576,0.7576,RAW
BCH-B300,4.4000000000000004,reportedSuccessRate,0.852,0.852,RAW
BCH-B300,4.5999999999999996,reportedSuccessRate,0.9138,0.9138,RAW
BCH-B300,4.7999999999999998,reportedSuccessRate,0.9524,0.9524,RAW
BCH-B300,5,reportedSuccessRate,0.9791231732776617,0.9791231732776617,RAW
BCH-B300,5.2000000000000002,reportedSuccessRate,0.9918096564150866,0.9918096564150866,RAW
BCH-B300,5.4000000000000004,reportedSuccessRate,0.99682,0.99682,RAW
BCH-B300,5.5,reportedSuccessRate,0.99824,0.99824,RAW
BCH-B300-426,4,reportedSuccessRate,0.7028,0.7028,RAW
BCH-B300-426,4.2000000000000002,reportedSuccessRate,0.8124,0.8124,RAW
BCH-B300-426,4.4000000000000004,reportedSuccessRate,0.887,0.887,RAW
BCH-B300-426,4.5999999999999996,reportedSuccessRate,0.9498,0.9498,RAW
BCH-B300-426,4.7999999999999998,reportedSuccessRate,0.9773396782234308,0.9773396782234308,RAW
BCH-B300-426,5,reportedSuccessRate,0.9912445825854748,0.9912445825854748,RAW
BCH-B300-426,5.2000000000000002,reportedSuccessRate,0.99746,0.99746,RAW
BCH-B300-426,5.4000000000000004,reportedSuccessRate,0.9992,0.9992,RAW
BCH-B300-426,5.5,reportedSuccessRate,0.99934,0.99934,RAW
