channelType,profileId,caseName,payloadGroup,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,processedFrames,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessRate,miscorrectionRate,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics,xSemantic,bandwidthConvention,seriesKey,plotted
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,3.5,2.565783148377649,5000,19910,2771,0.019910000000000001,0.55420000000000003,0.44579999999999997,0.00059999999999999995,0.55359999999999998,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,3.7,2.765783148377649,5000,16460,2355,0.016459999999999999,0.47099999999999997,0.52900000000000003,0.0011999999999999999,0.4698,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,3.9,2.965783148377649,5000,11990,1783,0.011990000000000001,0.35659999999999997,0.64339999999999997,0.00020000000000000001,0.35639999999999999,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,4.1,3.1657831483776486,5000,8577,1311,0.0085769999999999996,0.26219999999999999,0.73780000000000001,0,0.26219999999999999,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,4.3,3.365783148377649,5000,5885,927,0.0058849999999999996,0.18540000000000001,0.81459999999999999,0.00040000000000000002,0.185,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,4.5,3.565783148377649,5000,4133,651,0.0041330000000000004,0.13020000000000001,0.86980000000000002,0.00020000000000000001,0.13,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,4.7,3.765783148377649,5000,2187,356,0.0021870000000000001,0.071199999999999999,0.92879999999999996,0,0.071199999999999999,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,4.9,3.9657831483776493,5000,1291,207,0.001291,0.041399999999999999,0.95860000000000001,0,0.041399999999999999,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,5.1,4.165783148377649,9354,1182,200,0.00063181526619627963,0.021381227282446014,0.97861877271755404,0,0.021381227282446014,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,5.3,4.365783148377649,16373,1194,200,0.00036462468698466986,0.012215232394796311,0.98778476760520373,0,0.012215232394796311,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,5.5,4.565783148377649,37581,1192,200,0.00015859077725446368,0.0053218381629014664,0.99467816183709856,2.6609190814507331e-05,0.0052952289720869586,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,5.7,4.76578314837765,50000,601,100,6.0099999999999997e-05,0.002,0.998,0,0.002,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,5.9,4.96578314837765,50000,214,39,2.1399999999999998e-05,0.00077999999999999999,0.99922,0,0.00077999999999999999,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
AWGN,AWGN,BCH-B200,200,200,248,0.80645161290322576,6.0,5.065783148377649,50000,128,22,1.2799999999999999e-05,0.00044000000000000002,0.99956,0,0.00044000000000000002,,31.696580000000029,0.0,0.0,0.0,0.0,31.696580000000029,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|AWGN,true
CFO_30_NO_COMPENSATION_PHI0_ZERO,CFO_30_PHI0_ZERO,BCH-B200,200,200,248,0.80645161290322576,3.5,2.565783148377649,5000,28832,3923,0.028832,0.78459999999999996,0.21540000000000001,0.00080000000000000004,0.78380000000000005,0.035257258064516128,32.63107999999994,46.807820000000028,41.299999999999997,72.200000000000003,136.31700000000035,79.438899999999833,69.799999999999997,118.31000000000003,280.84100000000092,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|CFO_30_NO_COMPENSATION_PHI0_ZERO,true
CFO_30_NO_COMPENSATION_PHI0_ZERO,CFO_30_PHI0_ZERO,BCH-B200,200,200,248,0.80645161290322576,3.7,2.765783148377649,5000,23947,3432,0.023947,0.68640000000000001,0.31359999999999999,0.00059999999999999995,0.68579999999999997,0.032010483870967742,32.63107999999994,46.807820000000028,41.299999999999997,72.200000000000003,136.31700000000035,79.438899999999833,69.799999999999997,118.31000000000003,280.84100000000092,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|CFO_30_NO_COMPENSATION_PHI0_ZERO,true
CFO_30_NO_COMPENSATION_PHI0_ZERO,CFO_30_PHI0_ZERO,BCH-B200,200,200,248,0.80645161290322576,3.9,2.965783148377649,5000,19603,2941,0.019602999999999999,0.58819999999999995,0.4118,0.00059999999999999995,0.58760000000000001,0.029031451612903224,32.63107999999994,46.807820000000028,41.299999999999997,72.200000000000003,136.31700000000035,79.438899999999833,69.799999999999997,118.31000000000003,280.84100000000092,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|CFO_30_NO_COMPENSATION_PHI0_ZERO,true
