scheme,method,parameter,fairnessGroupId,spanBits,spanTrellisSteps,bufferBits,mappingHash,EsN0Db,sigmaSquared,burstRatioRequested,burstLengthBits,burstRatioActual,burstPositionType,framesProcessed,totalBits,bitErrors,frameErrors,BER,FER,interleaveTimeMeanNs,deinterleaveTimeMeanNs,decodeTimeMeanNs,payloadChecksum,noiseChecksum,burstStartChecksum,frameSequenceHash
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.02,6,0.021052631578947368,HEAD,30,6000,192,30,0.032000000000000001,1,303.33333333333331,310,5943.333333333333,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,16483704655678a0220d5f21fb9a1a25347cb314e60836ac87cfadab06b5e05a,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.02,6,0.021052631578947368,QUARTER,30,6000,104,30,0.017333333333333333,1,466.66666666666669,406.66666666666669,7860,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,ccf20561cbf600794f28d229ec0b1f13503da7650cac44679322632407b9c0ca,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.02,6,0.021052631578947368,MIDDLE,30,6000,230,30,0.03833333333333333,1,500,490,8386.6666666666661,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,a12c53836ff88ff507140c3b3765f0b85dff778a925aec7d718a7c9afc9ad6a4,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.02,6,0.021052631578947368,THREE_QUARTER,30,6000,173,30,0.028833333333333332,1,463.33333333333331,446.66666666666669,7880,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,b58f2cce821a2f3433b7685b9a2538a0cfa900b81fc499a21623a2a5e4ab8279,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.02,6,0.021052631578947368,TAIL,30,6000,20,10,0.0033333333333333335,0.33333333333333331,933.33333333333337,373.33333333333331,7573.333333333333,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,dd06398dc793bfc5741eeb2c3533bbedf06117175644f5c65fb2cfe7b89ae598,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.02,6,0.021052631578947368,RANDOM,30,6000,168,30,0.028000000000000001,1,983.33333333333337,420,7310,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,1b8a1a89dd1ff40e70c8a886f3b2d8417cd381c75ba75fa3a2a2e4d0c88a0b19,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.050000000000000003,14,0.04912280701754386,HEAD,30,6000,339,30,0.056500000000000002,1,1533.3333333333333,446.66666666666669,19900,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,19b53460f1879ab184907444d2911240417983ab8f50490b73405ca018158445,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.050000000000000003,14,0.04912280701754386,QUARTER,30,6000,268,30,0.044666666666666667,1,546.66666666666663,446.66666666666669,8390,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,a63a0ef912fd8aedaa777d0aca99a9fbafa664e38b579ba1b4bdc9b2348fe432,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.050000000000000003,14,0.04912280701754386,MIDDLE,30,6000,340,30,0.056666666666666664,1,483.33333333333331,446.66666666666669,8053.333333333333,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,69b47a9b044b88c926ed113a78c8f37ef8e34739a6640012733044d41ac44d06,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.050000000000000003,14,0.04912280701754386,THREE_QUARTER,30,6000,272,30,0.045333333333333337,1,483.33333333333331,460,7813.333333333333,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,e10cf606869b94261fc59b46ebfa1a9a3cec2537e09b213a8ca16d85919ca7d6,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
