runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,windowBits,slideBits,dtb,minFrames,targetFrameErrors,maxFrames,sourceStage09RowId
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,1.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,1.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,1.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,1.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,1.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,1.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,2.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,2.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,2.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,2.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,2.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,2.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,2.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,2.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,3.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,3.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,3.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,3.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,3.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,3.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,3.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,3.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,4.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,4.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,4.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,4.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,4.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,4.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,4.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,4.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,5.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,5.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,5.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,5.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,5.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,5.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,5.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,5.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,6.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,6.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,6.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,6.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,6.5,96,16,70,1000,200,50000,COARSE_GRID
