stageId,runId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,motherN,motherK,motherT,blockCount,configurationId,interleaverMode,interleaverDepth,interleaverSeed,permutationFile,permutationSha256,burstLengthIndex,burstLengthBits,burstRatio,snrIndex,targetSnrDb,derivedEbN0Db,sigma2,masterSeed,framesProcessed,payloadBitsProcessed,payloadErrorBits,payloadErrorFrames,decoderDeclaredSuccessFrames,decoderDeclaredFailureFrames,trueSuccessFrames,miscorrectionFrames,undetectedErrorFrames,affectedCodeBlocksTotal,meanAffectedCodeBlocks,maxAffectedCodeBlocks,maxErrorsInOneCodeBlockObserved,meanMaxErrorsInOneCodeBlock,interleaverApplyTimeTotalNs,deinterleaverApplyTimeTotalNs,decoderTimeTotalNs,interleaverTimeMeanNs,deinterleaverTimeMeanNs,decoderTimeMeanNs,decoderTimeP50Ns,decoderTimeP95Ns,decoderTimeP99Ns,decoderTimeMaxNs,interleaverBufferBits,interleaverBufferBytes,interleaverStartupDelayBits,burstStartChecksum,payloadChecksum,awgnChecksum,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointPath,resultSha256
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,0,0,1.5381486434452905,0.5,1397048147,1000,200000,14849,1000,1000,0,0,1000,0,0,0,0,0,0,681500,724000,8597800,681,724,8597,7800,11300,13400,46800,285,36,285,4216799325451620966,9362680610510031887,10673462479519888696,0.074245000000000005,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S0.json,66c21585014977752ccb4299c77fada0c2924fbe08e5876118dd3a9bbb2f2a09
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,1,0.5,2.0381486434452905,0.44562546906687278,1397048147,1000,200000,11537,996,1000,0,4,996,0,0,0,0,0,0,754900,655300,7999400,754,655,7999,6800,11400,12400,41900,285,36,285,13154752159529927436,9213379136773596738,2163159563430553775,0.057685,0.996,0,0.996,0,0.0040000000000000001,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S1.json,a5e631afac083cfb66d6274af91c633a6e2507ddd3d9a585c8425cf0910ab407
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,2,1,2.5381486434452905,0.39716411736214075,1397048147,1000,200000,8735,985,1000,0,15,985,0,0,0,0,0,0,612800,605200,7433500,612,605,7433,6500,10700,13600,98600,285,36,285,2750459640751173477,2316545862110743317,9675955982536889938,0.043674999999999999,0.98499999999999999,0,0.98499999999999999,0,0.014999999999999999,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S2.json,81dd21dc08a192fe31ac85b733f6949595d879e5dca5a214facdb19a4cc8b6d5
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,3,1.5,3.0381486434452905,0.35397289219206896,1397048147,1000,200000,6399,960,1000,0,40,960,0,0,0,0,0,0,550400,591800,6798200,550,591,6798,6200,9800,11600,175500,285,36,285,7584263166777870226,2833696226037850203,12354009621587560791,0.031995000000000003,0.95999999999999996,0,0.95999999999999996,0,0.040000000000000001,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S3.json,55c7b72e8cfa83ac19213c5a29cbefd5c294863f7ed45fac36f81390aa485a4b
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,4,2,3.5381486434452905,0.31547867224009662,1397048147,1000,200000,4442,868,1000,0,132,868,0,0,0,0,0,0,715200,741000,8007000,715,741,8007,6300,10800,12400,98200,285,36,285,1411886139930869538,2150754697515847342,13325079790679171968,0.022210000000000001,0.86799999999999999,0,0.86799999999999999,0,0.13200000000000001,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S4.json,c014e5bf5f0adb31793193eeea37d1700718d1570ef1a2fbbad051f59241357b
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,5,2.5,4.0381486434452905,0.28117066259517454,1397048147,1000,200000,2903,731,1000,0,269,731,0,0,0,0,0,0,707500,736800,8006600,707,736,8006,6500,10700,12600,86700,285,36,285,14590102963572392067,15499652558119583634,12969744714151603509,0.014515,0.73099999999999998,0,0.73099999999999998,0,0.26900000000000002,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S5.json,142b593fef86e0ef6f7662200a3e567b6afdc8e02438e1cce76697a8c72c3413
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,6,3,4.5381486434452905,0.25059361681363618,1397048147,1000,200000,1871,581,1000,0,419,581,0,0,0,0,0,0,562300,584200,6132500,562,584,6132,5700,9200,10900,82700,285,36,285,5364323082172509193,1173733885670028005,7351587508147074428,0.0093550000000000005,0.58099999999999996,0,0.58099999999999996,0,0.41899999999999998,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S6.json,ff1a775921374b3126283c2dc85acec026492cef638d171c2a7c0ef1b1bcbef8
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,7,3.5,5.0381486434452905,0.22334179607548157,1397048147,1000,200000,1076,387,1000,0,613,387,0,0,0,0,0,0,598200,624800,6346500,598,624,6346,5600,9400,12500,33400,285,36,285,12768275055569998523,1941759484429369989,14982586088570474089,0.0053800000000000002,0.38700000000000001,0,0.38700000000000001,0,0.61299999999999999,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S7.json,69b3b5b3c8cdd9fee1b97848dcda9122ee5d3afcce1ab33538a05c2cf10e952a
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,8,4,5.5381486434452905,0.19905358527674863,1397048147,1000,200000,587,238,1000,0,762,238,0,0,0,0,0,0,673600,681200,6968400,673,681,6968,5700,10000,10500,40900,285,36,285,12137824026100086671,8777071922808068950,9616310890745285909,0.0029350000000000001,0.23799999999999999,0,0.23799999999999999,0,0.76200000000000001,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S8.json,7030e874251e4d12958b808a1073ad6bdf00040d55d09b0f24b07592b670ce74
stage16_burst_interleaving_comparison,stage16_formal_v1,8f2b806a78eeb27120a68310b09cea5d32f634d3,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_L0,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,0,0,0,9,4.5,6.0381486434452905,0.17740669461678774,1397048147,1695,339000,465,200,1695,0,1495,200,0,0,0,0,0,0,1181400,1312900,12229000,696,774,7214,5800,9900,11200,38700,285,36,285,11908534212884612887,3171406918186412313,16288128635989064075,0.0013716814159292034,0.11799410029498525,0,0.11799410029498525,0,0.88200589970501475,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_L0_S9.json,25e2276f657a8bd7227db79eeaba632f6cc693358ceed0276e06538871a7a085
