caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,status,series,avg_check_node_updates,avg_variable_node_updates,avg_edge_message_updates,avg_normalized_complexity
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,2.5,2.5,4.5411998265592484,0.28117066259517454,300,777,234,0.0086333333333333331,0.78000000000000003,11.18,2,32,32,0.68999999999999995,0.31,431.60066666666683,99.049999999999997,1512.845,1946.5999999999999,0.44333333333333336,0.68999999999999995,0,672,321984,2253888,2253888,4507776,2253888,0,0,0,0,0,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,BP,1073.28,7512.96,7512.96,7512.96
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.59999999999999998,2.5,2.5,4.5411998265592484,0.28117066259517454,300,957,273,0.010633333333333333,0.91000000000000003,28.949999999999999,32,32,32,0.10000000000000001,0.90000000000000002,243.29833333333323,223.35000000000002,395.49500000000012,689.29999999999995,2.5699999999999998,0.10000000000000001,0,672,833760,5836320,5836320,0,0,5836320,11672640,3520276,5836320,5836320,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.60),2779.2,19454.4,19454.4,19454.4
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.65000000000000002,2.5,2.5,4.5411998265592484,0.28117066259517454,300,907,265,0.010077777777777778,0.8833333333333333,27.536666666666665,32,32,32,0.14666666666666667,0.85333333333333339,221.256,209.44999999999999,401.46000000000004,696.20000000000005,2.1433333333333335,0.14666666666666667,0,672,793056,5551392,5551392,0,0,5551392,11102784,3350777,5551392,5551392,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.65),2643.52,18504.64,18504.64,18504.64
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.69999999999999996,2.5,2.5,4.5411998265592484,0.28117066259517454,300,862,263,0.0095777777777777771,0.87666666666666671,25.640000000000001,32,32,32,0.20999999999999999,0.79000000000000004,202.29866666666663,204.09999999999999,356.99500000000006,580.60000000000002,1.76,0.20999999999999999,0,672,738432,5169024,5169024,0,0,5169024,10338048,3124827,5169024,5169024,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.70),2461.44,17230.08,17230.08,17230.08
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.75,2.5,2.5,4.5411998265592484,0.28117066259517454,300,836,256,0.0092888888888888882,0.85333333333333339,22.933333333333334,32,32,32,0.29999999999999999,0.69999999999999996,179.98366666666664,202.40000000000001,347.32500000000005,693.10000000000002,1.3600000000000001,0.29999999999999999,0,672,660480,4623360,4623360,0,0,4623360,9246720,2795576,4623360,4623360,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.75),2201.6,15411.2,15411.2,15411.2
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,2.5,2.5,4.5411998265592484,0.28117066259517454,300,814,251,0.0090444444444444452,0.83666666666666667,20.016666666666666,32,32,32,0.39666666666666667,0.60333333333333339,157.14999999999998,198.59999999999999,348.56500000000005,663.29999999999995,1.0766666666666667,0.39666666666666667,0,672,576480,4035360,4035360,0,0,4035360,8070720,2442479,4035360,4035360,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.80),1921.6,13451.2,13451.2,13451.2
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.84999999999999998,2.5,2.5,4.5411998265592484,0.28117066259517454,300,799,244,0.0088777777777777778,0.81333333333333335,15.996666666666666,2.5,32,32,0.53000000000000003,0.46999999999999997,125.90266666666663,26.5,336.15500000000009,528.5,0.74333333333333329,0.53000000000000003,0,672,460704,3224928,3224928,0,0,3224928,6449856,1953502,3224928,3224928,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.85),1535.68,10749.76,10749.76,10749.76
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,2.5,2.5,4.5411998265592484,0.28117066259517454,300,780,236,0.0086666666666666663,0.78666666666666663,12.09,2,32,32,0.66000000000000003,0.34000000000000002,103.09900000000003,21.5,338.51000000000005,689.5,0.45333333333333331,0.66000000000000003,0,672,348192,2437344,2437344,0,0,2437344,4874688,1477990,2437344,2437344,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.90),1160.64,8124.48,8124.48,8124.48
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.94999999999999996,2.5,2.5,4.5411998265592484,0.28117066259517454,300,770,232,0.0085555555555555558,0.77333333333333332,6.7833333333333332,2,32,32,0.83666666666666667,0.16333333333333333,59.214999999999975,16.399999999999999,313.60000000000008,584.79999999999995,0.18666666666666668,0.83666666666666667,0,672,195360,1367520,1367520,0,0,1367520,2735040,830227,1367520,1367520,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.95),651.2,4558.4,4558.4,4558.4
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,2.5,2.5,4.5411998265592484,0.28117066259517454,300,782,230,0.0086888888888888884,0.76666666666666672,1.8766666666666667,2,3,4,1,0,18.145333333333337,15.949999999999999,31.295000000000023,79.400000000000006,0,1,0,672,54048,378336,378336,0,0,378336,756672,231814,378336,378336,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,MS (α=1.00),180.16,1261.12,1261.12,1261.12
