caseId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,permutationSha256
K200_S15,BLOCK,8,2,3,b00e0066407eab7f2b2598c86c3c145c7be81dc1f67896a63cb4e42c7d71e481
K200_S15,BLOCK,8,6,15,b00e0066407eab7f2b2598c86c3c145c7be81dc1f67896a63cb4e42c7d71e481
K200_S15,ROW_COLUMN,8,1,2,2b312269240f77dde40f544b6f57c8a9c6c3d3ebdf8b3cced607cce08e57df4f
K200_S15,ROW_COLUMN,8,5,10,2b312269240f77dde40f544b6f57c8a9c6c3d3ebdf8b3cced607cce08e57df4f
K200_S15,PSEUDORANDOM,8,0,1,63fb1b01aa485e46b6779f3c63933326a6531c0209aaf6b5db394efa80200e1e
K200_S15,PSEUDORANDOM,8,4,8,63fb1b01aa485e46b6779f3c63933326a6531c0209aaf6b5db394efa80200e1e
K200_S15,PSEUDORANDOM,8,8,30,63fb1b01aa485e46b6779f3c63933326a6531c0209aaf6b5db394efa80200e1e
K200_M255K207,BLOCK,8,3,5,2e5ebe72548d9088e1c555dcccc5100c323eb852fdc43aad20d0da0d58b4b988
K200_M255K207,BLOCK,8,7,20,2e5ebe72548d9088e1c555dcccc5100c323eb852fdc43aad20d0da0d58b4b988
K200_M255K207,ROW_COLUMN,8,2,3,92f8f881ee29e8ccc62f3288fa7276bfe40326d4b12fa44d558e60977239076a
K200_M255K207,ROW_COLUMN,8,6,15,92f8f881ee29e8ccc62f3288fa7276bfe40326d4b12fa44d558e60977239076a
K200_M255K207,PSEUDORANDOM,8,1,2,e51d61b041914851201c956237b4c5a87b3b04be33f4a7843c5479e1fe37e8d0
K200_M255K207,PSEUDORANDOM,8,5,10,e51d61b041914851201c956237b4c5a87b3b04be33f4a7843c5479e1fe37e8d0
K200_M511K421,BLOCK,8,0,1,6b550e11971ca64d1d7e8c540fc7a2ab61f84ae19d89ab60a558b8b3033721ab
K200_M511K421,BLOCK,8,4,8,6b550e11971ca64d1d7e8c540fc7a2ab61f84ae19d89ab60a558b8b3033721ab
K200_M511K421,BLOCK,8,8,30,6b550e11971ca64d1d7e8c540fc7a2ab61f84ae19d89ab60a558b8b3033721ab
K200_M511K421,ROW_COLUMN,8,3,5,d0acc15cf2a1a7e6f51b0b0f72cf9532881804ef4fdf0facfbdead88a2f67f13
K200_M511K421,ROW_COLUMN,8,7,20,d0acc15cf2a1a7e6f51b0b0f72cf9532881804ef4fdf0facfbdead88a2f67f13
K200_M511K421,PSEUDORANDOM,8,2,3,7470f71a4b4e368d9648675d2397a87d606bc72a11616e9fbef32af4a1e76819
K200_M511K421,PSEUDORANDOM,8,6,15,7470f71a4b4e368d9648675d2397a87d606bc72a11616e9fbef32af4a1e76819
K200_M511K385,BLOCK,8,1,2,e377830b4d2134afbf481aee6b5c933991c779f1d5b70ab438f8e66e250efc91
K200_M511K385,BLOCK,8,5,10,e377830b4d2134afbf481aee6b5c933991c779f1d5b70ab438f8e66e250efc91
K200_M511K385,ROW_COLUMN,8,0,1,b6325ecfd50318861d1941ce4d487a731715d79cca8c016757546deb4b80982b
K200_M511K385,ROW_COLUMN,8,4,8,b6325ecfd50318861d1941ce4d487a731715d79cca8c016757546deb4b80982b
K200_M511K385,ROW_COLUMN,8,8,30,b6325ecfd50318861d1941ce4d487a731715d79cca8c016757546deb4b80982b
K200_M511K385,PSEUDORANDOM,8,3,5,47f729a943375f962278599eda5d9565f41cee0cc087c93dd5011cd0dff60e0c
K200_M511K385,PSEUDORANDOM,8,7,20,47f729a943375f962278599eda5d9565f41cee0cc087c93dd5011cd0dff60e0c
K300_S15,BLOCK,8,2,3,231fd66f096f28ce43507b4424b30ea937997a7a8673697213ed2f7212745873
K300_S15,BLOCK,8,6,15,231fd66f096f28ce43507b4424b30ea937997a7a8673697213ed2f7212745873
K300_S15,ROW_COLUMN,8,1,2,0939fe4a85c0e1e592121f5ac4d85f5dbe18c2266f41629d284b45b07eb7d610
K300_S15,ROW_COLUMN,8,5,10,0939fe4a85c0e1e592121f5ac4d85f5dbe18c2266f41629d284b45b07eb7d610
K300_S15,PSEUDORANDOM,8,0,1,3e1afa749c55e21ed530b0da125ce5cd5a66f775b51f838ad09b8955f7423f50
K300_S15,PSEUDORANDOM,8,4,8,3e1afa749c55e21ed530b0da125ce5cd5a66f775b51f838ad09b8955f7423f50
K300_S15,PSEUDORANDOM,8,8,30,3e1afa749c55e21ed530b0da125ce5cd5a66f775b51f838ad09b8955f7423f50
